id,Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,lnUsedPrice,Review Score,RatingE,RatingT,RatingM,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,GBA,GCN,NDS,Wii,PS2,PS3,PSP,Xbox,X360,Action,Adventure,Educational,Racing,RPG,Simulation,Sports,Strategy,2K
1,Nintendo DS,Super Mario 64 DS,4.69,2004,"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,1,24.95,3.216873822,85,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Sony PSP,Lumines: Puzzle Fusion,0.56,2004,"Bandai Co., Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Strategy,0,0,14.95,2.7047113,89,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,Nintendo DS,WarioWare Touched!,0.54,2004,"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Racing / Driving, Sports",1,0,22.95,3.133317937,81,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,Sony PSP,Hot Shots Golf: Open Tee,0.49,2004,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Sports,0,0,12.95,2.561095788,81,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,Nintendo DS,Spider-Man 2,0.45,2004,"Activision Asia-Pacific, Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited, ATVI France SARL, Taito Corporation",Action,1,0,14.95,2.7047113,61,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Nintendo DS,The Urbz: Sims in the City,0.41,2004,"Electronic Arts, Inc.",Simulation,1,0,12.95,2.561095788,67,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Sony PSP,Ridge Racer,0.36,2004,"Namco Hometek Inc., Namco Limited, SCEE",Racing / Driving,1,0,19.95,2.993229143,88,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,Sony PSP,Metal Gear Ac!d,0.34,2004,"Konami Corporation, Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Strategy,0,0,17.95,2.887590115,75,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,Nintendo DS,Madden NFL 2005,0.25,2004,"Electronic Arts, Inc.",Sports,1,0,8.95,2.191653532,68,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Nintendo DS,Pok�mon Dash,0.22,2004,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Racing / Driving,0,0,24.95,3.216873822,46,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
